Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
European Union (27),EUU,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,,,,,,,,,,,97.8904066021482,98.047441071906,98.1911937463697,98.3347122603938,98.4653645831053,98.5671416034736,98.6642491468354,98.7644405085824,98.8671071217111,98.9235932780133,98.9957928800312,99.0605745193191,99.0985732923953,99.1342938275138,99.1690272609127,99.1978818108303,99.2213446951726,99.4245309944233,99.4289159344436,99.4587475334323
European Union (27),EUU,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,,,,,,,,,,,95.5133445111074,95.7029915843408,95.930382124246,96.1229862136971,96.325464755271,96.501828305936,96.7243589115317,96.9635345946397,97.1454738101879,97.3307589556737,97.4973213157534,97.6381374720778,97.7324860955072,97.8574449130767,97.9671595886285,98.0183146172536,98.1039102426907,98.2088282070311,98.2743552127556,98.3210681516872
European Union (27),EUU,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,,,,,,,,,,,99.7887487649185,99.7970720650863,99.8136073752064,99.8195091420571,99.8287833576745,99.8379323028996,99.8468191670428,99.8496830807402,99.8632638242094,99.8682587899146,99.8692911319219,99.8697388623205,99.8742187407515,99.8787646277698,99.8799054245734,99.8810773289404,99.8823071605518,99.883422484862,99.8812914909087,99.8885320271481
European Union (27),EUU,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9601962766443,100.0,100.0,100.0
European Union (27),EUU,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
European Union (27),EUU,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9839161029317,100.0,100.0,100.0
European Union (27),EUU,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,,,,,,,,,97.69873,97.68639,97.43706,97.60039,97.47525,97.3561,97.13164,97.54457,97.53031,97.65417,97.86795,97.7539,97.7939,97.86683,97.99058,98.03995,97.65497,97.76725,97.62383,97.42937,96.75901,
European Union (27),EUU,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,,,,,,,,,97.67059,97.66602,97.38638,97.5858,97.4251,97.31569,,,97.57267,97.75979,97.93124,97.83844,97.88102,97.98303,98.17284,98.20671,97.83732,97.93651,97.81157,97.60216,97.09077,
European Union (27),EUU,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,,,,,,,,,97.78828,97.731,97.50489,97.63128,97.54069,97.41955,,,97.51256,97.57606,97.83071,97.69649,97.73216,97.76728,97.82731,97.89173,97.49186,97.61656,97.44559,97.26526,96.4723,
European Union (27),EUU,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.5741209697028,1.95403692902917,1.44444639384815,-0.987672887705898,2.55425877486275,3.2812387053357,1.96213391981507,2.7066679371603,3.30710320782272,3.07412250598553,2.30289503609495,2.08263126649713,0.819826257335947,1.13379564945801,2.97840799524307,1.57793691608614,3.4384472439984,2.96184732104766,-0.86215660771181,-3.75780477138881,1.97131756967492,1.23990912368177,-0.97781052309773,0.461960081379004,1.740937911475,2.73613880613523,2.82624448533238,2.58156906023406,1.90399569094875,2.04422956351738
European Union (27),EUU,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,7590033907731.61,7738345973214.53,7850122232568.12,7772588703625.27,7971120732621.61,8232672231349.43,8394208285707.93,8621411629955.64,8906530610529.5,9180328272530.28,9391741596615.6,9587336943575.34,9665936449218.04,9775528416158.65,10066683536082.8,10225529451824.2,10577128887444.7,10890407296041.2,10796514929931.7,10390802976751.0,10595638701462.0,10727014992433.8,10622125111023.5,10671195088830.5,10856973969739.5,11154035847697.5,11469276170735.0,11765363455791.5,11989375469014.3,12234465826833.0
European Union (27),EUU,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,5506396482660.7,5694213881469.46,6254803750143.14,5674684425083.66,6011019284707.48,7008631383244.58,7132612688626.99,6541901171753.51,6731166715885.12,6708957014996.87,6119791989277.41,6199327448987.01,6730617202030.99,8276511766537.14,9566571973281.2,9974964857732.08,10679086641467.4,12314473491929.9,13478493845781.7,12157164518442.6,12029067638193.4,13041883635507.4,12100111368887.9,12670883046085.7,12940076638415.6,11154035847697.5,11480382665269.8,12211255427641.6,13235119780877.0,12995358448298.1
European Union (27),EUU,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,3.22806923826488,1.65123794666388,1.14863263809519,-1.30902553444623,2.29919804657079,3.08635082039845,1.79649379419217,2.55263677992718,3.16911768353863,2.90451328798133,2.18062203667857,1.94799052894608,0.589042603236109,0.775025969530191,2.59303114100011,1.21841050872986,3.10325404790885,2.61657692261525,-1.17954907912747,-3.98505880323903,1.82937329277112,1.42032205637994,-1.12339467199909,0.218216418852805,1.48698367255741,2.51264071607102,2.60836017417397,2.42095248993526,1.73782437367736,1.97972186938391
European Union (27),EUU,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,18050.9656290759,18349.0300232825,18559.7929709038,18316.8405417743,18737.9809817042,19316.3008114592,19663.3169568045,20165.2500175976,20804.3105218351,21408.5744854146,21875.4145783823,22301.5455825369,22432.9111871982,22606.7720746206,23192.9727144904,23475.5583313306,24204.0645455169,24837.3825127498,24544.4133960413,23566.3040892989,23997.4197624018,24338.2604082493,24064.8456875657,24117.3591320276,24475.9803245729,25090.9737718656,25745.4367390434,26368.721530822,26826.9636006117,27358.0628659047
European Union (27),EUU,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,13095.5638481829,13502.0199189508,14788.0324964458,13372.9306544507,14130.3047357636,16444.3364524905,16708.0466975535,15301.3309630714,15722.9889678883,15645.3235343205,14254.330309423,14420.5408131925,15620.5597586361,19140.1637961322,22040.7487681746,22900.3173355379,24437.3785275569,28085.2019807709,30641.5289613235,27572.4057655876,27243.9060633712,29590.4089216758,27413.2821682223,28636.7397839277,29172.1304742085,25090.9737718656,25770.3678286938,27368.0617792318,29614.3929705886,29059.5305447461
European Union (27),EUU,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,11.3284520359648,10.3835246598582,9.91313692324012,9.348482845772,10.0108323790446,11.2969671443762,11.0683268163189,11.6516266983599,11.7356890462022,11.4475631594011,11.0010889198703,10.8413886575677,10.5349161630633,10.1920682776921,10.9930811737398,10.7497324394232,11.5258203766188,12.1313148233313,10.7778860628013,7.98340980138991,8.50846631215816,9.24010740862213,8.76188517673035,9.00137163045392,9.70795626566838,10.3547302422487,10.7805569625779,11.4523286850617,11.720681435162,11.9727908073738
European Union (27),EUU,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,11.1738249555684,10.2353220464418,9.77527779370738,9.21272508457693,9.88322697428064,11.1753365006691,10.9519065101341,11.5402530591476,11.6291891113661,11.3473266975492,10.9062759602132,10.7487893110266,10.4445192083569,10.1046925749151,10.9105549343116,10.6680404818906,11.4466496926766,12.0527151492478,10.6984523922268,7.90215742433068,8.43031697032407,9.16518118577789,8.68858144378096,8.93179058679573,9.64238671026193,10.2917700789101,10.721630418637,11.3951304283585,11.6630788966376,11.9147306396902
European Union (27),EUU,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,0.602580543656818,0.614137440063429,0.593935122042879,0.678249656156712,0.6695719852284,0.623196139415781,0.65722488360344,0.72594137487702,0.729308700825244,0.746523714618745,0.862905115972046,0.896431099086208,0.852293697649237,0.745739560571338,0.67401987790452,0.676246939113768,0.676019785803904,0.61096230906617,0.562175865672471,0.587148322314191,0.633925726247068,0.588093856219641,0.650631470734793,0.628169671081935,0.61004013364004,0.746615828248925,0.748682049864245,0.741043835410873,0.701483390984443,0.738591264085706
European Union (27),EUU,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,15.4450734566489,15.6225118300988,15.6929490048374,16.0237998000547,15.8867088961201,15.6094099834473,15.5717217218052,15.5004214859965,15.4456858318908,15.4823898762777,15.6491618389501,15.8084133412637,15.9849936349576,16.0815534673199,15.9924337173905,16.1000055183479,15.978200551305,16.0091586155055,16.451699157038,17.3073917160988,17.2007431379341,17.1553941025397,17.4621825578147,17.4690273071527,17.3970982666702,17.4725655614929,17.3662894072061,17.2707884537882,17.3366767061381,17.4065707595604
European Union (27),EUU,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.05175494874319,4.08207865460082,4.3576879987217,4.65014995062777,4.77913565005492,4.71372247521287,4.79806095506721,4.89324409324703,4.57410664074748,4.53164642127927,4.49546650596327,4.59548061361131,4.57005483319734,4.65189545918323,4.61991460616181,4.56687543637556,4.52579285661683,4.4632020241722,4.58856033914169,4.89454790437278,4.85623184648695,4.75674754029972,4.81964733794271,4.74595174048803,4.71523213485072,4.69675049279927,4.65629567114935,4.62614690508824,4.61931381908473,4.61704006207401
European Union (27),EUU,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,0.0975636232581001,0.0682605865420115,0.0520080655813344,0.0544662068959287,0.0429580721060575,0.0420245696022154,0.0538584319715394,0.0508310205104365,0.0193547603232518,0.0283660923890205,0.0927301600983236,0.114731492415757,0.0959789582031452,0.0852578750517208,0.0963956588945566,0.109885675855713,0.13490039525292,0.123153857945057,0.188412010565036,0.120850160793097,0.1326938067788,0.173061136411309,0.168901465303086,0.144456742590235,0.104585536072526,0.0607745618717892,0.0394245838466645,0.0538398157288592,0.073422352519062,0.0548468624107035
European Union (27),EUU,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,23.4536951979049,22.6280927128567,21.9140161135034,21.4733289819674,21.8520683089544,22.8810295290782,22.5728120408062,23.0558346807072,23.3702700966158,23.1869688828895,23.1297836223931,23.0724821361708,22.903629780316,22.458620085737,23.1451420036951,23.0806797479734,23.818500454319,24.4416375009777,23.4074727893876,21.1160562538406,21.6741106199522,22.4702211975105,22.2479994039656,22.5139517472774,23.1184505244068,23.94974063755,24.2906043877202,24.9106915027736,25.2341509002737,25.578685678078
European Union (27),EUU,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,0.0116753462968408,0.0062176130710179,0.0054894508129375,0.0037356232550953,0.0064683698950088,0.0071989057820969,0.0034476899758255,0.0056211234111273,0.0018442119616484,0.0018494574754289,0.003376860959979,0.0012612221285916,0.0012547138551585,0.0013780024896543,0.0054670796406037,0.0078015521404066,0.0243886910498423,0.024481046458134,0.0102254556893449,0.0070137980623683,0.0491487617211934,0.0665433192185362,0.0203319394404653,0.0131775416299297,0.0101949398196915,0.0079163557296614,0.0081932544890609,0.0146422587876156,0.0159619043166271,0.016564053711249
European Union (27),EUU,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,0.129392031094356,0.0900310941065487,0.070623629988473,0.0729716127499196,0.064112493038163,0.0652016280554956,0.0736263176583884,0.0711177713939397,0.033703970969748,0.0421548137886433,0.112147069879681,0.121795715826962,0.101536767275857,0.0912028282584527,0.105577301298921,0.121633146169851,0.164333947568506,0.153479452608691,0.204381702009914,0.132725646627532,0.187314248279475,0.243516181539684,0.193063636177476,0.161437695325686,0.11866854766951,0.0726326713132457,0.0514076888348973,0.0727337211811917,0.094702222861637,0.0778389757498087
European Union (27),EUU,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,0.0201051408225758,0.0155192378241301,0.0141855457104152,0.0147448004607928,0.0146642566151517,0.0159552616675629,0.0162934521985752,0.0146370707991979,0.012494186160196,0.0119230040068362,0.0159872325057035,0.0057369373201686,0.004247445784932,0.0045183617955147,0.0036591022869459,0.0038830594679357,0.0049635109054213,0.0057688728436928,0.0056345767630801,0.0047903595550697,0.0053647215997819,0.0037689147989096,0.0037141318849055,0.0037005948567829,0.0038075173867137,0.0038885807573474,0.0037538008856185,0.0041953590846495,0.0052389302382026,0.0063619930101172
European Union (27),EUU,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,8.00862174125596,7.00558088275795,6.22106710866598,5.44952918191276,5.96535941283426,7.27161954563096,7.00109031900104,7.55541319471067,7.92458426472505,7.70457900661183,7.48062178344305,7.26406879490714,6.91863614535839,6.3770666184171,7.15270828630463,6.98067422962548,7.84029990301402,8.43247888547217,6.95577363234957,3.80866453774186,4.47336748201806,5.31482709497081,4.78581684615088,5.04492444012477,5.72135225773663,6.47717507605711,6.92431498051417,7.63990304898548,7.89747419413562,8.17211491851758
European Union (27),EUU,Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,0.154627080396388,0.148202613416399,0.137859129532731,0.135757761195072,0.127605404763927,0.121630643707119,0.116420306184743,0.111373639212354,0.106499934836079,0.1002364618519,0.0948129596570395,0.0925993465411017,0.0903969547063329,0.087375702777041,0.0825262394282184,0.0816919575326329,0.0791706839422135,0.0785996740835019,0.0794336705744837,0.0812523770592379,0.0781493418340932,0.0749262228442439,0.0733037329493869,0.0695810436581888,0.0655695554064552,0.0629601633385873,0.0589265439408834,0.0571982567032025,0.057602538524447,0.0580601676835869
European Union (27),EUU,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,20.6501830788581,20.0646409464218,19.4988574192754,18.7228500633524,17.8908741315147,16.9772584328407,15.9932360682709,14.9521081676115,14.6525778004221,14.3683732007989,14.1152565065423,13.8332438131813,13.5823978575519,13.5700796742683,13.542066487257,13.4697995137457,13.3102742964251,13.0913370455691,12.5136223634438,11.9795884599646,11.4897172242819,11.0092632619744,10.5414649750327,10.2445804915971,9.9608352823673,9.68721172605404,9.41033082645645,9.14351008707404,8.92777695452575,8.73942238775142
European Union (27),EUU,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,3.4153299331665,3.33923006057739,3.4466700553894,3.41001009941101,2.84916996955872,2.78145003318787,2.89738988876343,3.01830005645752,2.5855700969696,2.64264011383057,2.42770004272461,2.45210003852844,2.21938991546631,2.08579993247986,1.94233000278473,1.32705998420715,1.70405995845795,2.63127994537354,2.58292007446289,2.54171991348267,2.57961010932922,3.13852000236511,3.05404996871948,2.60584998130798,2.82465004920959,2.54079008102417,2.47238993644714,2.41985011100769,2.48531007766724,2.50110006332397
European Union (27),EUU,"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,4.05178022384644,3.96336007118225,4.06532001495361,4.08793020248413,3.70332002639771,3.61384010314941,3.68989992141724,3.74328994750977,3.07817006111145,2.9200599193573,2.57796001434326,2.45695996284485,2.13615989685059,1.99093997478485,1.86932003498077,1.27325999736786,1.59891998767853,2.54523992538452,2.53939008712769,2.5010199546814,2.52863001823425,3.13702011108398,3.02649998664856,2.56926989555359,2.7427499294281,2.41278004646301,2.32459998130798,2.30268001556396,2.34200000762939,2.32136011123657
European Union (27),EUU,"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,2.80832004547119,2.74392008781433,2.85648989677429,2.7632999420166,2.03450989723206,1.98784995079041,2.14206004142761,2.32715010643005,2.11591005325317,2.37826991081238,2.28456997871399,2.44746994972229,2.2985999584198,2.17603993415833,2.01175999641418,1.37821996212006,1.80411994457245,2.71315002441406,2.62431001663208,2.58038997650146,2.62806010246277,3.13994002342224,3.08024001121521,2.64058995246887,2.90232992172241,2.66214990615845,2.61240005493164,2.53080010414124,2.62091994285584,2.67101001739502
European Union (27),EUU,Age dependency ratio (% of working-age population),SP.POP.DPND,49.1847722241785,49.2049800351422,49.142192046772,49.0250495684343,48.8932832757716,48.7610401720565,48.6941777122496,48.6180871322633,48.536140953688,48.4560600622273,48.3957023846143,48.3847580749475,48.3947812365445,48.4180736250735,48.4399051981109,48.4520609995118,48.636506130308,48.7917151540228,48.9585530853181,49.1891399227146,49.5218291471829,50.0771016898196,50.6705091984925,51.3121183794307,51.9954001803383,52.7047132383801,53.3257697604751,53.997879316619,54.6903099112575,55.3584319146302
European Union (27),EUU,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,20.1283078824687,20.5035764977253,20.8382724148965,21.1371858699609,21.4156594318247,21.6838668249587,22.0382576744381,22.3608558665757,22.6649660438177,22.9684218074516,23.2881049635884,23.6371265399333,23.9933759160906,24.3407235870446,24.6523439263132,24.9152682060673,25.2265460876555,25.4793598148745,25.7165253138352,26.0002436489098,26.3778109055938,26.8479316077696,27.4111765131506,28.0430669232359,28.7013135876225,29.3575503437954,29.9708424391963,30.5735052194179,31.1696232567652,31.7678055162667
European Union (27),EUU,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,28.9650149156616,28.6205534324025,28.2325115488266,27.8233385792218,27.4175175622109,27.0205348137188,26.6013858880693,26.2049612639988,25.8203945336102,25.4362954924664,25.0531717752865,24.686999103408,24.3324462877961,23.998040051973,23.696273446145,23.4331505830547,23.2969028158238,23.1919180415487,23.1159405042019,23.0578382390439,23.0080929953751,23.0952704039399,23.1245042235231,23.1315210924626,23.1559238043014,23.2134107607305,23.2269625248244,23.3080718406299,23.418195233054,23.4992648196746
European Union (27),EUU,Agricultural land (% of land area),AG.LND.AGRI.ZS,48.5187443070989,47.6123580810314,47.0386681193296,47.1251573540719,47.0248504463862,46.6047850516255,46.5133508905593,46.3648175672196,46.2253487187358,46.1687770843041,45.7177930123408,45.1509854366759,44.7004291785379,44.244347281761,43.968056347201,43.9512308835554,43.5333790463458,42.9925518174411,43.2040444733542,42.9398758160848,42.544670870421,42.3054072653689,42.1280986494712,41.8380840416521,41.4065949470426,41.3647741440947,41.118261115112,41.0973307113471,40.9415465483986,
European Union (27),EUU,Agricultural land (sq. km),AG.LND.AGRI.K2,1762063.0,1729198.0,1822834.0,1885257.0,1881263.0,1864444.0,1860828.0,1854844.0,1849246.0,1846969.0,1828630.8,1805720.2,1787169.2,1769138.1,1757998.1,1757197.9,1740204.6,1718563.2,1726780.2,1716614.2,1701387.0,1691757.7,1682427.2,1671421.5,1654717.51,1652794.99,1643106.52,1642261.274,1637507.299,
European Union (27),EUU,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,8308447.0,8288677.0,8346057.0,8460115.0,8591277.0,8598727.0,8570588.0,8536634.0,8517635.0,8497994.0,8500717.5,7586884.0,7713934.0,5927009.0,5908292.0,5972621.0,,,,,,,,,,,,,,
European Union (27),EUU,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,798.932922285164,802.426153393381,759.748445421104,739.578079063843,755.587304853949,766.992240635734,762.688323037302,760.923558533103,766.49271809713,766.418438788845,772.117458763552,792.233466324498,813.728864783668,697.450666942807,698.132681901072,708.104871141159,,,,,,,,,,,,,,
European Union (27),EUU,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,49.9036837645553,49.3523443748835,48.6967183355259,47.5751535433285,47.472324892131,47.1177314222354,47.2728405683246,47.7694757667913,48.1212257595365,48.3900156180421,48.9045078566665,48.8001998930429,49.3218794911473,49.1555671008269,50.0661908002868,50.5247709091461,51.0100019567237,51.8374050256007,52.1616186378783,,,,,,,,,,,
European Union (27),EUU,Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,300160.0,288010.0,275170.0,262570.0,257060.0,252270.0,251060.0,249950.0,245930.0,243980.0,243020.0,238100.0,235410.0,231650.0,229520.0,227120.0,225260.0,226360.0,225340.0,223680.0,221500.0,216850.0,216090.0,215750.0,217550.0,219300.0,219540.0,218570.0,213560.0,211910.0
European Union (27),EUU,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,63.3481871716963,63.2258046472688,61.3794836175395,61.1345949404451,60.31122400799,59.715854543201,59.3956741604648,60.166459944277,64.5716348705936,67.0101048267066,66.2451972857173,65.9251022942902,67.1269281074274,66.699470959648,66.7005894368968,66.5136731677294,68.2917835963401,68.7610769183625,71.1882321225699,,,,,,,,,,,
European Union (27),EUU,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,212230.0,201630.0,188650.0,185640.0,185690.0,183200.0,187700.0,187300.0,186570.0,185830.0,181750.0,180160.0,180210.0,178890.0,179970.0,175070.0,172730.0,176650.0,173560.0,168090.0,171260.0,169350.0,169650.0,172860.0,175540.0,177160.0,175560.0,175870.0,170630.0,172460.0
European Union (27),EUU,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,2.36059292837234,2.22855919114316,2.32433881446001,2.1449186494023,2.3850052158479,2.33145677101569,2.07366394702862,1.97165598242789,1.89133254344171,1.80286971706353,1.76653803595597,1.62452627584127,1.65381875389305,1.64249483459852,1.53460266169519,1.46963554480823,1.43747852306267,1.43701539561291,1.31842901570103,1.40944516221607,1.50021849224256,1.54405430674743,1.509240156293,1.53552021555583,1.50779748865878,1.50586723624828,1.48939708260456,1.42567387097469,1.4323194150548,1.39290259795244
European Union (27),EUU,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,3.17532113515296,2.79959489167487,2.80177851048704,2.58882345945591,2.86334206925622,2.9802273495585,2.52565461817173,2.46289669520378,2.32221344962135,2.0896495084123,2.08155745384206,1.93619145947674,1.91152115538677,1.8232510021147,1.69480408603521,1.62590165357451,1.55013969289172,1.55735989507853,1.4498007108772,1.44326807626573,1.59297167901889,1.66453234570277,1.55981751419524,1.57341967408688,1.5357732438872,1.53325321303448,1.51682982714796,1.43583450988191,1.43348618852199,1.35130794443839
